MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
ATOK,2015,RAINFED,CHINESE CABBAGE,MAR,17.3,5.0,55,11.0,75.3
ATOK,2015,RAINFED,CHINESE CABBAGE,APR,19.5,5.0,55,11.0,171.1
ATOK,2015,RAINFED,CHINESE CABBAGE,MAY,23,5.0,55,11.0,197.5
ATOK,2015,RAINFED,CHINESE CABBAGE,JUN,21.1,17.3,397,22.95,404.7
ATOK,2015,RAINFED,CHINESE CABBAGE,JUL,11.1,19.5,323,16.56,884.6
ATOK,2015,RAINFED,CHINESE CABBAGE,AUG,7.5,23.0,230,10.0,684.4
ATOK,2015,RAINFED,CHINESE CABBAGE,SEP,2.5,15.0,150,10.0,368.9
ATOK,2015,RAINFED,CHINESE CABBAGE,OCT,7.8,5.0,55,11.0,658.2
ATOK,2015,RAINFED,CHINESE CABBAGE,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,CHINESE CABBAGE,DEC,5,1.0,5,5.0,192.1
ATOK,2015,RAINFED,LETTUCE,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,LETTUCE,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,LETTUCE,MAR,5,5.0,55,11.0,75.3
ATOK,2015,RAINFED,LETTUCE,APR,0.9,5.0,55,11.0,171.1
ATOK,2015,RAINFED,LETTUCE,MAY,1.71,0.9,9,10.0,197.5
ATOK,2015,RAINFED,LETTUCE,JUN,0.9,1.71,17.1,10.0,404.7
ATOK,2015,RAINFED,LETTUCE,JUL,0.54,0.9,10.8,12.0,884.6
ATOK,2015,RAINFED,LETTUCE,AUG,5,0.54,5,9.26,684.4
ATOK,2015,RAINFED,LETTUCE,SEP,3,5.0,55,11.0,368.9
ATOK,2015,RAINFED,LETTUCE,OCT,0.5,5.0,55,11.0,658.2
ATOK,2015,RAINFED,LETTUCE,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,LETTUCE,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,CAULIFLOWER,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,CAULIFLOWER,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,CAULIFLOWER,MAR,5,5.0,55,11.0,75.3
ATOK,2015,RAINFED,CAULIFLOWER,APR,5,5.0,55,11.0,171.1
ATOK,2015,RAINFED,CAULIFLOWER,MAY,5,5.0,55,11.0,197.5
ATOK,2015,RAINFED,CAULIFLOWER,JUN,5,5.0,55,11.0,404.7
ATOK,2015,RAINFED,CAULIFLOWER,JUL,5,5.0,55,11.0,884.6
ATOK,2015,RAINFED,CAULIFLOWER,AUG,5,5.0,55,11.0,684.4
ATOK,2015,RAINFED,CAULIFLOWER,SEP,5,5.0,55,11.0,368.9
ATOK,2015,RAINFED,CAULIFLOWER,OCT,1.2,5.0,55,11.0,658.2
ATOK,2015,RAINFED,CAULIFLOWER,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,CAULIFLOWER,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,BROCCOLI,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,BROCCOLI,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,BROCCOLI,MAR,5,5.0,55,11.0,75.3
ATOK,2015,RAINFED,BROCCOLI,APR,5,5.0,55,11.0,171.1
ATOK,2015,RAINFED,BROCCOLI,MAY,5,5.0,55,11.0,197.5
ATOK,2015,RAINFED,BROCCOLI,JUN,5,5.0,55,11.0,404.7
ATOK,2015,RAINFED,BROCCOLI,JUL,5,5.0,55,11.0,884.6
ATOK,2015,RAINFED,BROCCOLI,AUG,5,5.0,55,11.0,684.4
ATOK,2015,RAINFED,BROCCOLI,SEP,5,5.0,55,11.0,368.9
ATOK,2015,RAINFED,BROCCOLI,OCT,1.25,5.0,55,11.0,658.2
ATOK,2015,RAINFED,BROCCOLI,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,BROCCOLI,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,SNAP BEANS,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,SNAP BEANS,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,SNAP BEANS,MAR,3.3,5.0,55,11.0,75.3
ATOK,2015,RAINFED,SNAP BEANS,APR,3.9,5.0,55,11.0,171.1
ATOK,2015,RAINFED,SNAP BEANS,MAY,4.2,5.0,55,11.0,197.5
ATOK,2015,RAINFED,SNAP BEANS,JUN,0.8,3.3,26.4,8.0,404.7
ATOK,2015,RAINFED,SNAP BEANS,JUL,5,5.0,55,11.0,884.6
ATOK,2015,RAINFED,SNAP BEANS,AUG,5,4.2,32,7.62,684.4
ATOK,2015,RAINFED,SNAP BEANS,SEP,5,5.0,55,11.0,368.9
ATOK,2015,RAINFED,SNAP BEANS,OCT,3.5,5.0,55,11.0,658.2
ATOK,2015,RAINFED,SNAP BEANS,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,SNAP BEANS,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,GARDEN PEAS,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,GARDEN PEAS,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,GARDEN PEAS,MAR,5.2,5.0,55,11.0,75.3
ATOK,2015,RAINFED,GARDEN PEAS,APR,7.3,5.0,55,11.0,171.1
ATOK,2015,RAINFED,GARDEN PEAS,MAY,5,5.0,55,11.0,197.5
ATOK,2015,RAINFED,GARDEN PEAS,JUN,5,5.2,26,5.0,404.7
ATOK,2015,RAINFED,GARDEN PEAS,JUL,5,5.0,55,11.0,884.6
ATOK,2015,RAINFED,GARDEN PEAS,AUG,5,5.0,55,11.0,684.4
ATOK,2015,RAINFED,GARDEN PEAS,SEP,5,5.0,55,11.0,368.9
ATOK,2015,RAINFED,GARDEN PEAS,OCT,3.2,5.0,55,11.0,658.2
ATOK,2015,RAINFED,GARDEN PEAS,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,GARDEN PEAS,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,SWEET PEPPER,JAN,5,1.8,12.6,7.0,41.6
ATOK,2015,RAINFED,SWEET PEPPER,FEB,5,1.68,11.73,7.0,47.9
ATOK,2015,RAINFED,SWEET PEPPER,MAR,1.85,5.0,55,11.0,75.3
ATOK,2015,RAINFED,SWEET PEPPER,APR,1.63,5.0,55,11.0,171.1
ATOK,2015,RAINFED,SWEET PEPPER,MAY,5,5.0,55,11.0,197.5
